ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5
1|5|A new Cold War has broken out between the U.S. and China over artificial intelligence.|米国と中国の間で、人工知能をめぐる「新たな冷戦」が勃発しました。|A new Cold War has broken out^Subject + Verb^core^新たな冷戦が勃発した|between the U.S. and China^Preposition^modifier^米国と中国の間で|over artificial intelligence.^Preposition^modifier^人工知能をめぐって||
2|12|The U.S. and China are locked in a competition, but there are some really striking similarities to the tech races between the U.S. and Soviet Union that we saw during the Cold War.|米中は競争状態にありますが、そこには冷戦時代に我々が目にした米ソ間の技術競争と、驚くほど似ている点があります。|The U.S. and China are locked^S + V (Passive)^core^米国と中国は閉じ込められている（膠着状態だ）|in a competition,^Preposition^modifier^競争の中に|but^Conjunction^connector^しかし|there are some really striking similarities^There + Be^core^本当に際立った類似点がある|to the tech races^Preposition^modifier^技術競争との|between the U.S. and Soviet Union^Preposition^modifier^米国とソ連の間の|that we saw during the Cold War.^Relative Clause^connector^冷戦中に我々が見た
3|24|You have two rival superpowers who are competing in technologies with really broad potential applications.|本当に幅広い潜在的な応用可能性を持つ技術で競争している、2つの対立する超大国が存在するという意味においてです。|You have two rival superpowers^S + V + O^core^2つの対立する超大国がいる|who are competing^Relative Clause^connector^（彼らは）競争している|in technologies^Preposition^modifier^技術の分野で|with really broad potential applications.^Preposition^modifier^本当に幅広い潜在的応用力を持つ||
4|36|During the Cold War, the Soviet Union and the U.S. were the two strongest countries in the world.|冷戦時代、ソビエト連邦と米国は世界で最も強力な2つの国でした。|During the Cold War,^Preposition^modifier^冷戦の間|the Soviet Union and the U.S. were^Subject + Verb^core^ソ連と米国は～だった|the two strongest countries^Complement^core^最も強い2つの国|in the world.^Preposition^modifier^世界で|
5|41|They were racing against each other to create transformational technologies, like nuclear weapons, rockets, satellites, and advanced computing.|彼らは、核兵器、ロケット、人工衛星、そして高度なコンピューティングといった変革的な技術を生み出すために、互いに競い合っていました。|And they were racing^S + V^core^そして彼らは競っていた|against each other^Preposition^modifier^互いに|to create transformational technologies,^Infinitive^modifier^変革的な技術を創り出すために|like nuclear weapons, rockets, satellites, and advanced computing.^Preposition^modifier^核兵器、ロケット、衛星、高度な計算機のような|
6|53|This is the first general use technology we've seen come along since the internet, so it affects potentially everything.|これはインターネット以来初めて登場した汎用技術であり、潜在的にあらゆるものに影響を及ぼします。|This is the first general use technology^S + V + C^core^これは最初の汎用技術だ|we've seen come along^Relative Clause^connector^我々が登場するのを見た|since the internet,^Preposition^modifier^インターネット以来|so^Conjunction^connector^だから|it affects potentially everything.^S + V + O^core^それは潜在的にすべてに影響する
7|102|There are people in both Washington and Beijing who see this competition over AI having similar consequences.|ワシントン（米国政府）と北京（中国政府）の双方に、このAIをめぐる競争が同様の結果をもたらすと見ている人々がいます。|There are people^There + Be^core^人々がいる|in both Washington and Beijing^Preposition^modifier^ワシントンと北京の両方に|who see this competition over AI^Relative Clause^connector^このAI競争を見ている（人々）|having similar consequences^Participle^modifier^同様の結果をもたらすと||
8|109|Whichever country manages to run away with a lead stands to reap humongous advantages in economic, military, and scientific power, as well as global influence.|リードを奪い独走することに成功した国はどこであれ、経済、軍事、科学力、そして世界的な影響力において、莫大な利益を得ることになります。|Whichever country manages to run away with a lead^Noun Clause (Subject)^core^リードを奪って独走することに成功したどの国も|stands to reap^Verb^core^利益を得る立場にある|humongous advantages^Object^core^莫大な優位性を|in economic, military, and scientific power,^Preposition^modifier^経済、軍事、科学力における|as well as global influence.^Conjunction^connector^世界的な影響力と同様に
9|128|The AI race also has the potential to accelerate a technology that many fear could have dire consequences.|AI競争はまた、多くの人々が恐ろしい結果を招くのではないかと懸念している技術を、加速させる可能性も秘めています。|The AI race also has the potential^S + V + O^core^AI競争は可能性も持っている|to accelerate a technology^Infinitive^modifier^技術を加速させるための|that many fear^Relative Clause^connector^多くの人が恐れている（技術）|could have dire consequences.^Verb Phrase^core^悲惨な結果をもたらしうる|
10|136|What happens if we create a superintelligence that doesn't have humanity's best interests at heart?|もし人類の最善の利益を心に抱いていない（人類のためにならない）超知能を作り出してしまったら、何が起きるのでしょうか？|What happens^S + V^core^何が起きるか|if we create a superintelligence^Conjunction (Condition)^connector^もし我々が超知能を作ったら|that doesn't have^Relative Clause^connector^（それを）持っていない（超知能）|humanity's best interests^Object^core^人類の最善の利益を|at heart?^Idiom^modifier^心底（本質的に）
11|142|There's a lot of people in government, industry, and the military who worry that this race dynamic is actually leading both sides to downplay safety concerns.|政府、産業界、軍の関係者の多くは、この競争の力学が、実際には双方に安全への懸念を軽視させているのではないかと懸念しています。|There's a lot of people^There + Be^core^多くの人々がいる|in government, industry, and the military^Preposition^modifier^政府、産業界、軍の中に|who worry^Relative Clause^connector^心配している（人々）|that this race dynamic is actually leading both sides^Conjunction + S + V + O^connector^この競争力学が実際に双方を導いていると|to sort of downplay safety concerns,^Infinitive^modifier^安全上の懸念を軽視するように|
12|241|In 2017, Beijing announced that it planned to lead the world in AI by 2030.|2017年、中国政府は2030年までにAI分野で世界をリードする計画を発表しました。|In 2017,^Preposition^modifier^2017年に|Beijing announced^S + V^core^北京（中国政府）は発表した|that it planned to lead the world^Noun Clause^core^世界をリードする計画であることを|in AI^Preposition^modifier^AIにおいて|by 2030.^Preposition^modifier^2030年までに
13|300|When OpenAI released ChatGPT, the AI landscape as we know it was rocked and forever changed by a single chatbot.|OpenAIがChatGPTを公開したとき、私たちが知るAIの状況は揺らぎ、たった一つのチャットボットによって永遠に変わってしまいました。|When OpenAI released ChatGPT,^Conjunction (Time)^connector^OpenAIがChatGPTを公開した時|the AI landscape as we know it^Subject^core^我々が知るAIの風景は|was rocked and forever changed^Verb (Passive)^core^揺るがされ、永遠に変えられた|by a single chatbot.^Preposition^modifier^たった一つのチャットボットによって|
14|328|U.S. companies have been pouring tens of billions of dollars into AI development, and specifically into LLMs.|米国企業はAI開発、特に大規模言語モデル（LLM）に数百億ドルもの資金を注ぎ込んできました。|U.S. companies have been pouring^S + V^core^米国企業は注ぎ込み続けている|tens of billions of dollars^Object^core^数百億ドルを|into AI development,^Preposition^modifier^AI開発に|and specifically into LLMs.^Preposition^modifier^そして具体的にはLLMに|
15|356|When the Soviet Union launched the Sputnik satellite in the 1950s, it jolted the US to speed up its own work on the space race.|1950年代にソ連がスプートニク衛星を打ち上げた際、それは米国に衝撃を与え、宇宙開発競争への取り組みを加速させました。|When the Soviet Union launched the Sputnik satellite^Conjunction (Time)^connector^ソ連がスプートニク衛星を打ち上げた時|in the 1950s,^Preposition^modifier^1950年代に|it jolted the US^S + V + O^core^それは米国に衝撃を与えた|to speed up its own work^Infinitive^modifier^自国の作業を加速させるように|on the space race.^Preposition^modifier^宇宙競争に関する
16|363|The debut of ChatGPT was a similar wake-up call for China.|ChatGPTのデビューは、中国にとって同様の「警鐘（ウェイクアップ・コール）」となりました。|And the debut of ChatGPT was^S + V + C^core^そしてChatGPTのデビューは～だった|a similar wake-up call^Complement^core^同様の警鐘|for China.^Preposition^modifier^中国にとって||
17|369|Top Communist Party officials really started to ramp up pressure on Chinese tech companies to do more.|共産党の幹部たちは、中国のハイテク企業に対し、もっとやるよう圧力を強め始めました。|That's when^Conjunction^connector^それは～の時だ|top Communist Party officials really started^S + V^core^共産党トップが本当に始めた|to ramp up pressure^Infinitive^modifier^圧力を高めることを|on Chinese tech companies^Preposition^modifier^中国のテック企業に対して|to do more.^Infinitive^modifier^もっとやるように
18|417|Beijing's strategy is to throw everything it has at the problem, including promoting AI in schools and offering generous subsidies.|中国政府の戦略は、学校でのAI推進や多額の補助金提供など、持てるすべてのリソースをこの問題に投入することです。|Beijing's strategy is^S + V + C^core^北京の戦略は～だ|to throw everything it has^Infinitive^modifier^持てるすべてを投じること|at the problem,^Preposition^modifier^その問題に|including promoting AI in schools^Participle^modifier^学校でのAI推進を含め|and offering generous subsidies.^Participle^modifier^そして寛大な補助金の提供（を含め）
19|485|Earlier this year, a new China-based artificial intelligence startup called DeepSeek is shaking up an industry known for its rapid innovation.|今年初め、DeepSeekと呼ばれる中国を拠点とする新しいAIスタートアップが、急速なイノベーションで知られる業界を揺るがしています。|Earlier this year,^Adverb^modifier^今年の初めに|a new China-based artificial intelligence startup called DeepSeek^Subject^core^DeepSeekと呼ばれる新しい中国拠点のAIスタートアップが|is shaking up an industry^Verb + Object^core^業界を揺るがしている|known for its rapid innovation.^Participle^modifier^急速な革新で知られる|
20|503|DeepSeek released a large language model that was basically almost as good as the best model that OpenAI had at the time.|DeepSeekは、当時OpenAIが持っていた最高のモデルと基本的にほぼ同等の性能を持つ大規模言語モデルをリリースしました。|DeepSeek released^S + V^core^DeepSeekはリリースした|a large language model^Object^core^大規模言語モデルを|that was basically almost as good^Relative Clause^connector^基本的にほぼ同じくらい良い|as the best model^Preposition^modifier^最高のモデルと|that OpenAI had at the time.^Relative Clause^connector^当時OpenAIが持っていた
21|529|What was notable about DeepSeek was that it managed to build a model using much less computing power and a fraction of the money compared with OpenAI.|DeepSeekについて注目すべき点は、OpenAIと比較して、はるかに少ない計算能力と数分の一の資金でモデルを構築できたことです。|What was notable about DeepSeek was^Noun Clause (Subject) + V^core^DeepSeekについて注目すべきことは～だった|that it managed to build a model^Noun Clause (Complement)^core^モデルの構築になんとか成功したこと|using much less computing power^Participle^modifier^はるかに少ない計算力を使って|and a fraction of the money^Noun Phrase^core^そしてほんの一部の資金で|compared with OpenAI.^Participle^modifier^OpenAIと比較して
22|572|Some people went so far as to say China was on the verge of pulling ahead.|中国が追い抜く寸前だとまで言う人もいました。|Some people even went so far as to say^S + V^core^そこまで言う人さえいた|China was on the verge^Noun Clause^core^中国は瀬戸際にいると|of pulling ahead.^Preposition^modifier^前に出る（追い抜く）ことの||
23|608|China has a lot of what it needs: tons of engineering talent, huge amounts of data, and plentiful power.|中国は必要なものの多くを持っています。多数のエンジニア、膨大なデータ、そして豊富な電力です。|China has^S + V^core^中国は持っている|a lot of what it needs:^Object^core^必要なものの多くを|tons of engineering talent,^Noun Phrase (Apposition)^core^多数のエンジニアの才能|huge amounts of data,^Noun Phrase (Apposition)^core^膨大なデータ|and plentiful power.^Noun Phrase (Apposition)^core^そして豊富な電力
24|626|But the one thing it really doesn't have is chips, so the biggest burden falls on one company, Huawei.|しかし、本当に持っていない唯一のものは半導体チップです。そのため、最大の負担はファーウェイという一企業にかかっています。|But the one thing it really doesn't have^Subject^core^しかし本当に持っていない唯一のものは|is chips,^Verb + Complement^core^チップだ|so^Conjunction^connector^だから|the biggest burden falls^S + V^core^最大の負担はかかる|on one company, Huawei.^Preposition^modifier^Huaweiという一つの会社に
