ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5
1|00:00:02.367|At least 15 people were shot and killed at a Hanukkah celebration in Australia.|オーストラリアのハヌカの祝いで、少なくとも15人が撃たれて死亡しました。|At least 15 people were shot and killed^S+V^core^少なくとも15人が撃たれて死亡しました|at a Hanukkah celebration^Prep Phrase^modifier^ハヌカの祝いで|in Australia^Prep Phrase^modifier^オーストラリアで||
2|00:00:06.708|The country's prime minister condemned the attack.|同国の首相は、この攻撃を非難しました。|The country's prime minister condemned^S+V^core^同国の首相は非難しました|the attack^Object^core^その攻撃を|||
3|00:00:09.333|What we saw yesterday was an act of pure evil, an act of anti-Semitism.|昨日私たちが目にしたのは、純粋な悪の行為であり、反ユダヤ主義の行為でした。|What we saw yesterday^Subject Clause^core^昨日私たちが目にしたものは|was an act of pure evil^V+C^core^純粋な悪の行為でした|an act of anti-Semitism^Apposition^modifier^（すなわち）反ユダヤ主義の行為（でした）||
4|00:00:14.590|I'm A. Martinez, that is Steve Inskeep, and this is Up First from NPR News.|私はA・マルティネス、こちらはスティーブ・インスキープ、そしてこれはNPRニュースの「Up First」です。|I'm A. Martinez^S+V+C^core^私はA・マルティネスです|that is Steve Inskeep^S+V+C^core^そちらはスティーブ・インスキープです|and^Conjunction^connector^そして|this is Up First^S+V+C^core^これは「Up First」です|from NPR News^Prep Phrase^modifier^NPRニュースからの
5|00:00:21.199|Authorities say they will release a person of interest detained after the Brown University shooting.|当局は、ブラウン大学での銃撃事件後に拘束されていた重要参考人を釈放すると述べています。|Authorities say^S+V^core^当局は述べています|they will release a person of interest^S+V+O^core^彼らは重要参考人を釈放すると|detained^Participle^modifier^（その人物は）拘束されていました|after the Brown University shooting^Prep Phrase^modifier^ブラウン大学の銃撃事件の後に|
6|00:00:26.416|This is what these investigations look like.|これこそが、こうした捜査のありようなのです。|This is^S+V^core^これがそうです|what these investigations look like^C (Clause)^core^こうした捜査がどのようなものかという（実態）|||
7|00:00:28.780|I've been around long enough to know that sometimes you head in one direction and then you have to regroup and go in another.|私は長くこの仕事をしているので、ある方向に進んでも、再編成して別の方向に進まなければならないことがあると知っています。|I've been around long enough to know^S+V+Inf^core^私はこれを知るのに十分なほど長く生きて（経験して）います|that sometimes you head^That-Clause(S+V)^core^時としてある方向に進むことを|in one direction^Prep Phrase^modifier^ある一つの方向に|and then you have to regroup^S+V^core^そして再編成しなければならない（ことを）|and go in another^V+Prep^core^そして別の方向へ進む（ことを）
8|00:00:34.802|And that's exactly what has happened over the last 24 hours or so.|そしてそれこそが、過去24時間ほどの間にまさに起きたことなのです。|And that's exactly^S+V+Adv^core^そしてそれがまさにそうです|what has happened^Clause^core^起きたこと（なのです）|over the last 24 hours or so^Prep Phrase^modifier^過去24時間かそこらの間に||
9|00:00:38.990|So where does the release leave the investigation?|では、この釈放によって捜査はどうなるのでしょうか？|So where does the release leave^Adv+V+S+V^core^ではその釈放はどこへ（状況を）置くのでしょうか|the investigation^Object^core^その捜査を|||
10|00:00:41.569|And police are investigating the reported deaths of actor and director Rob Reiner and his wife, Michelle.|そして警察は、俳優兼監督のロブ・ライナーとその妻ミシェルの死亡報道について捜査しています。|And police are investigating^S+V^core^そして警察は捜査しています|the reported deaths^Object^core^報告された死について|of actor and director Rob Reiner^Prep Phrase^modifier^俳優兼監督のロブ・ライナーの|and his wife, Michelle^Noun Phrase^modifier^そして彼の妻ミシェルの|
